plan_id,case_label,site_group,true_model_id,true_model_label,comparator_id,comparator_label,metric,label,units,true_value,comparator_value,true_minus_comparator,favors_true_sink
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",ptv_d95,PTV D95,Gy,16.405037879943848,16.86938190460205,-0.4643440246582031,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",pvdr,PVDR,ratio,1.6194702472739952,1.6056732752083351,0.013796972065660107,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,19.730558758772514,20.028428960537564,-0.2978702017650505,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,16.00868767437333,16.274418748841942,-0.26573107446861144,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",brainstem_d2,Brainstem D2,Gy,17.32584014892578,17.49945472717285,-0.1736145782470686,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",parotid_r_mean,Parotid R mean,Gy,13.895940837474784,14.306475969757697,-0.41053513228291294,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",outside_gtv_d2,Outside-GTV D2,Gy,23.654262199401845,23.65702972412109,-0.0027675247192462393,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9.645467141683813,10.128264514305677,-0.48279737262186373,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",ptv_d95,PTV D95,Gy,16.405037879943848,16.172669410705566,0.23236846923828125,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",pvdr,PVDR,ratio,1.6194702472739952,1.5941656457863773,0.025304601487617928,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,19.730558758772514,19.666015644772234,0.0645431140002799,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,16.00868767437333,16.06666599115108,-0.05797831677774923,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",brainstem_d2,Brainstem D2,Gy,17.32584014892578,17.30310096740723,0.022739181518552698,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",parotid_r_mean,Parotid R mean,Gy,13.895940837474784,13.971437220139936,-0.07549638266515224,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",outside_gtv_d2,Outside-GTV D2,Gy,23.654262199401845,23.26930667877197,0.3849555206298767,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9.645467141683813,9.626425635361455,0.019041506322357904,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",si_flip_sink,"Bystander, superior-inferior flipped vessel sink",ptv_d95,PTV D95,Gy,16.405037879943848,16.309813499450684,0.09522438049316406,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",si_flip_sink,"Bystander, superior-inferior flipped vessel sink",pvdr,PVDR,ratio,1.6194702472739952,1.6229383578536183,-0.0034681105796230405,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",si_flip_sink,"Bystander, superior-inferior flipped vessel sink",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,19.730558758772514,19.651850070162478,0.07870868861003544,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",si_flip_sink,"Bystander, superior-inferior flipped vessel sink",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,16.00868767437333,15.863802019676376,0.1448856546969548,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",si_flip_sink,"Bystander, superior-inferior flipped vessel sink",brainstem_d2,Brainstem D2,Gy,17.32584014892578,17.303317947387697,0.022522201538084374,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",si_flip_sink,"Bystander, superior-inferior flipped vessel sink",parotid_r_mean,Parotid R mean,Gy,13.895940837474784,14.218151056886924,-0.3222102194121401,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",si_flip_sink,"Bystander, superior-inferior flipped vessel sink",outside_gtv_d2,Outside-GTV D2,Gy,23.654262199401845,23.65317070007324,0.0010914993286057495,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",si_flip_sink,"Bystander, superior-inferior flipped vessel sink",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9.645467141683813,9.913260620475631,-0.2677934787918179,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",ptv_d95,PTV D95,Gy,16.405037879943848,16.869072914123535,-0.4640350341796875,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",pvdr,PVDR,ratio,1.6194702472739952,1.60570329195801,0.013766955315985152,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,19.730558758772514,20.027686450792395,-0.2971276920198811,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,16.00868767437333,16.266182923299414,-0.2574952489260838,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",brainstem_d2,Brainstem D2,Gy,17.32584014892578,17.497751998901368,-0.1719118499755865,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",parotid_r_mean,Parotid R mean,Gy,13.895940837474784,14.144986485953282,-0.2490456484784982,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",outside_gtv_d2,Outside-GTV D2,Gy,23.654262199401845,23.65648830413818,-0.0022261047363336672,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9.645467141683813,9.801287415654382,-0.1558202739705692,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",ptv_d95,PTV D95,Gy,16.405037879943848,16.002552032470703,0.40248584747314453,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",pvdr,PVDR,ratio,1.6194702472739952,1.6268123205281924,-0.007342073254197112,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,19.730558758772514,19.673464946316827,0.05709381245568679,False
